"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","","","3997","","TestSuite","","petStoreExercicioBDD.TestRunner","","runScenario[""Successful Registration"", ""User Registration""](2)",""
"failed","","","1946","","TestSuite","","petStoreExercicioBDD.TestRunner","","runScenario[""Successful Registration"", ""User Registration""](1)",""
